diameter,albedo,id,name,pha_flag,magnitude_h,eccentricity,semi_major_axis,perihelion,inclination,n,per,per_y,moid_au,class_name,dataset_type,cluster_label
4.106,0.02,20016064, 16064 Davidharvey (1999 RH27),0,16.86,0.5893,2.851,1.171,4.54,0.2048,1760.0,4.81,0.203,AMO,measured,0
1.87,0.22,20016834, 16834 (1997 WU22),0,15.75,0.4422,1.468,0.819,16.0,0.5542,650.0,1.78,0.147,APO,measured,2
2.885,0.028,20017182, 17182 (1999 VU),0,17.13,0.5534,1.387,0.619,9.27,0.6034,597.0,1.63,0.144,APO,measured,0
1.819,0.147,20017188, 17188 (1999 WC2),0,16.4,0.6367,2.216,0.805,29.45,0.2987,1210.0,3.3,0.0632,APO,measured,1
3.183,0.037,20017274, 17274 (2000 LC16),0,16.87,0.5541,2.731,1.218,5.57,0.2184,1650.0,4.51,0.207,AMO,measured,0
0.91,0.34,20019356, 19356 (1997 GH3),0,17.0,0.5578,2.512,1.111,3.01,0.2475,1450.0,3.98,0.121,AMO,measured,0
1.572,0.342,20019764, 19764 (2000 NF5),0,16.11,0.4447,2.233,1.24,1.33,0.2955,1220.0,3.34,0.222,AMO,measured,0
2.716,0.199,20020460, 20460 Robwhiteley (1999 LO28),0,15.41,0.4118,1.877,1.104,33.95,0.3834,939.0,2.57,0.329,AMO,measured,1
3.687,0.123,20020826, 20826 (2000 UV13),0,13.85,0.6365,2.418,0.879,31.93,0.2622,1370.0,3.76,0.093,APO,measured,1
2.793,0.206,20021088, 21088 Chelyabinsk (1992 BL2),0,14.36,0.2387,1.706,1.299,38.46,0.4422,814.0,2.23,0.306,AMO,measured,1
0.524,0.444,20022099, 22099 (2000 EX106),0,18.09,0.2763,1.104,0.799,9.85,0.8491,424.0,1.16,0.168,APO,measured,2
1.098,0.64,20023183, 23183 (2000 OY21),0,16.06,0.4009,1.824,1.093,40.98,0.4001,900.0,2.46,0.256,AMO,measured,1
0.866,0.123,20023606, 23606 (1996 AS1),0,18.39,0.3609,1.751,1.119,14.36,0.4255,846.0,2.32,0.101,AMO,measured,2
0.33,,20025143, 25143 Itokawa (1998 SF36),1,19.26,0.2802,1.324,0.953,1.62,0.6469,557.0,1.52,0.0133,APO,measured,2
