"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
,,3879250,"       (2019 UH)",N,25.70,0.4222,1.652,0.955,19.94,0.464,776,2.12,0.0121,APO
,,3879226,"       (2019 UJ)",N,26.90,0.2359,1.169,0.894,22.71,0.7793,462,1.26,0.0178,APO
,,3879227,"       (2019 UK)",Y,21.64,0.3840,0.8828,0.544,21.70,1.188,303,0.83,0.0446,ATE
,,3879228,"       (2019 UL)",N,29.10,0.2067,0.8329,0.661,1.35,1.297,278,0.76,0.00149,ATE
,,3879230,"       (2019 UN)",N,24.90,0.6339,2.787,1.020,3.93,0.2119,1.7e+03,4.65,0.0174,AMO
,,3879231,"       (2019 UO)",Y,20.03,0.6380,2.653,0.960,5.70,0.2281,1.58e+03,4.32,0.0194,APO
,,3879232,"       (2019 UP)",N,26.09,0.5677,2.355,1.018,4.96,0.2728,1.32e+03,3.61,0.0254,AMO
,,3879233,"       (2019 UQ)",N,26.20,0.5578,1.847,0.817,5.72,0.3926,917,2.51,9.86e-06,APO
,,3879234,"       (2019 UR)",N,26.61,0.2833,1.433,1.027,7.05,0.5746,627,1.72,0.041,AMO
,,3879239,"       (2019 US)",N,26.62,0.2596,1.209,0.895,2.75,0.7417,485,1.33,0.0108,APO
,,3879243,"       (2019 UT)",N,28.00,0.5563,2.007,0.890,3.47,0.3467,1.04e+03,2.84,0.00296,APO
,,3879244,"       (2019 UU)",N,26.50,0.2556,1.216,0.905,11.38,0.7348,490,1.34,0.025,APO
,,3879241,"       (2019 UV)",N,26.10,0.1709,0.8996,0.746,22.70,1.155,312,0.853,0.0308,ATE
,,3879242,"       (2019 UW)",N,26.00,0.2832,1.478,1.060,20.29,0.5483,657,1.8,0.0724,AMO
,,3879237,"       (2019 UX)",N,26.07,0.2547,1.085,0.808,2.45,0.8726,413,1.13,0.0113,APO
,,3879236,"       (2019 UY)",N,26.20,0.1824,1.267,1.036,21.04,0.6914,521,1.43,0.0492,AMO
,,3879238,"       (2019 UZ)",N,27.80,0.3469,0.8805,0.575,7.52,1.193,302,0.826,0.00516,ATE
,,3879235,"       (2019 UA1)",N,26.04,0.3545,1.593,1.028,15.81,0.4902,734,2.01,0.0349,AMO
,,3879240,"       (2019 UB1)",N,26.05,0.4732,1.934,1.019,3.01,0.3665,982,2.69,0.0246,AMO
